epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,653.669,0.78306,1.13019,0.54231,0.99308,0.96483,0.97945,0.98297,0.83225,0.9991,0.96575,0.99401,0.79423,0.67167,0.94144,0.4389,0.95637,0.0014258,0.0014258,0.0014258
31,674.568,0.73919,1.03795,0.50312,0.96694,0.97715,0.97945,0.98466,0.8425,0.98399,0.9863,0.99439,0.79465,0.65281,0.9379,0.3981,0.95163,0.001406,0.001406,0.001406
32,696.66,0.82388,1.18959,0.55109,1.0192,0.99472,0.9863,0.99178,0.86368,0.99472,0.9863,0.99178,0.80382,0.58869,0.93985,0.39691,0.91095,0.0013862,0.0013862,0.0013862
33,718.964,0.75546,1.14178,0.53594,0.98185,0.98516,0.97945,0.98513,0.85619,0.99204,0.9863,0.99453,0.80163,0.60356,0.94188,0.39801,0.90922,0.0013664,0.0013664,0.0013664
34,739.971,0.75781,1.08507,0.50067,0.98988,0.98628,0.98446,0.99371,0.84487,0.98628,0.98446,0.99371,0.82537,0.60554,0.88311,0.39498,0.90753,0.0013466,0.0013466,0.0013466
35,762.037,0.75974,1.06382,0.50767,0.97337,0.99279,0.9863,0.99479,0.84698,0.99279,0.9863,0.99479,0.81537,0.62106,0.94338,0.38031,0.9142,0.0013268,0.0013268,0.0013268
36,783.894,0.729,1.03657,0.49187,0.97783,1,0.99229,0.995,0.86857,1,0.99229,0.995,0.81926,0.57873,0.9395,0.36046,0.90375,0.001307,0.001307,0.001307
37,805.166,0.71294,1.01499,0.47383,0.96416,0.98399,0.97945,0.99276,0.8648,0.98399,0.97945,0.99276,0.81898,0.59349,0.95395,0.37748,0.89624,0.0012872,0.0012872,0.0012872
38,827.135,0.72578,1.02295,0.48891,0.96776,0.99754,0.97945,0.99446,0.86572,0.99754,0.97945,0.99446,0.83227,0.59076,0.88972,0.383,0.89803,0.0012674,0.0012674,0.0012674
39,849.192,0.71719,1.02951,0.48639,0.96229,1,0.99304,0.995,0.87101,1,0.99304,0.995,0.83431,0.55677,0.87283,0.35298,0.88136,0.0012476,0.0012476,0.0012476
40,870.477,0.69324,0.96042,0.45315,0.95307,0.98622,0.98028,0.99414,0.86005,0.98622,0.98028,0.99428,0.82105,0.59152,0.87751,0.38717,0.90366,0.0012278,0.0012278,0.0012278
41,892.274,0.72067,1.01408,0.48099,0.95915,1,0.98586,0.9946,0.87698,1,0.98586,0.9946,0.83749,0.58016,0.87873,0.38061,0.90417,0.001208,0.001208,0.001208
42,914.403,0.67651,0.98035,0.46608,0.94655,0.99581,0.9863,0.99353,0.88184,0.99581,0.9863,0.99353,0.83934,0.54341,0.82542,0.36118,0.87447,0.0011882,0.0011882,0.0011882
43,935.813,0.70036,0.98229,0.46199,0.96118,0.99245,0.99315,0.99411,0.87045,0.99245,0.99315,0.99411,0.83522,0.57805,0.9391,0.34831,0.88964,0.0011684,0.0011684,0.0011684
44,957.3,0.68742,0.99047,0.4674,0.95448,0.99892,0.9863,0.99467,0.86851,0.99892,0.9863,0.99467,0.83118,0.56488,0.86004,0.34958,0.89707,0.0011486,0.0011486,0.0011486
45,979.173,0.67315,1.00961,0.44874,0.94551,0.99315,0.99268,0.99493,0.8597,0.99315,0.99268,0.99493,0.82518,0.55752,0.86335,0.34585,0.88849,0.0011288,0.0011288,0.0011288
46,1001.03,0.67404,0.96797,0.44997,0.94894,0.99278,0.9863,0.99486,0.8785,0.99278,0.9863,0.99486,0.84651,0.54583,0.81353,0.34965,0.88401,0.001109,0.001109,0.001109
47,1022.7,0.6651,0.93521,0.44275,0.95452,0.99245,0.9863,0.99473,0.88308,0.99245,0.9863,0.99473,0.8346,0.53095,0.82902,0.34903,0.8988,0.0010892,0.0010892,0.0010892
48,1044.86,0.6602,0.95544,0.4467,0.9498,0.99305,0.97801,0.99287,0.88465,1,0.98486,0.99493,0.82906,0.56557,0.88035,0.34452,0.89481,0.0010694,0.0010694,0.0010694
49,1067.03,0.66956,0.93801,0.44209,0.95314,0.99778,0.9863,0.99467,0.88837,0.99778,0.9863,0.99467,0.84466,0.49758,0.79951,0.32578,0.87231,0.0010496,0.0010496,0.0010496
50,1088.5,0.64023,0.92418,0.42521,0.94132,0.99315,0.99254,0.99486,0.91295,0.99315,0.99254,0.99486,0.85577,0.46311,0.76898,0.30273,0.85238,0.0010298,0.0010298,0.0010298
51,1111.28,0.63348,0.92108,0.41962,0.93347,0.99191,0.99315,0.99493,0.89864,0.99191,0.99315,0.99493,0.85039,0.49817,0.77367,0.32298,0.87719,0.00101,0.00101,0.00101
52,1133.58,0.62462,0.93412,0.41554,0.92331,0.99165,0.99315,0.99493,0.89457,0.99165,0.99315,0.99493,0.85224,0.48186,0.76237,0.31877,0.86582,0.0009902,0.0009902,0.0009902
53,1155.48,0.61903,0.90709,0.41699,0.93057,0.99314,0.99214,0.99493,0.90464,0.99314,0.99214,0.99493,0.86289,0.46507,0.74696,0.30035,0.86331,0.0009704,0.0009704,0.0009704
54,1177.32,0.59645,0.89226,0.40438,0.91565,0.98636,0.99062,0.99479,0.91206,0.98636,0.99062,0.99479,0.86858,0.4911,0.69734,0.31256,0.86472,0.0009506,0.0009506,0.0009506
55,1199.65,0.61614,0.88472,0.41166,0.92971,0.99073,0.99315,0.99486,0.89807,0.99073,0.99315,0.99486,0.85304,0.47681,0.73129,0.31602,0.87035,0.0009308,0.0009308,0.0009308
56,1221.78,0.59181,0.85159,0.40735,0.93054,1,0.98552,0.99486,0.89244,1,0.98552,0.99486,0.84693,0.49168,0.76184,0.32126,0.87122,0.000911,0.000911,0.000911
57,1243.23,0.61298,0.8452,0.41325,0.93182,0.99315,0.99249,0.99493,0.90375,0.99315,0.99249,0.99493,0.86001,0.48832,0.70272,0.30846,0.86465,0.0008912,0.0008912,0.0008912
58,1265.66,0.59065,0.86191,0.39374,0.91788,0.99926,0.99315,0.995,0.91161,0.99926,0.99315,0.995,0.86338,0.45828,0.6878,0.30067,0.858,0.0008714,0.0008714,0.0008714
59,1288.02,0.57799,0.87002,0.38416,0.92442,1,0.99203,0.995,0.91642,1,0.99203,0.995,0.86208,0.45546,0.7067,0.29918,0.85159,0.0008516,0.0008516,0.0008516
60,1309.19,0.57306,0.83847,0.37262,0.916,0.99809,0.9863,0.99486,0.91766,0.99809,0.9863,0.99486,0.87256,0.4567,0.70462,0.29208,0.85037,0.0008318,0.0008318,0.0008318
61,1331.6,0.59491,0.86353,0.39757,0.92707,0.99925,0.9863,0.99493,0.91645,0.99925,0.9863,0.99493,0.85936,0.44799,0.6932,0.28731,0.84607,0.000812,0.000812,0.000812
62,1353.76,0.55298,0.80646,0.36191,0.9023,0.99924,0.9863,0.99493,0.91864,0.99924,0.9863,0.99493,0.86587,0.45227,0.67895,0.2839,0.84667,0.0007922,0.0007922,0.0007922
63,1375.36,0.55304,0.80018,0.3691,0.91204,0.99983,0.9863,0.99448,0.91743,0.99983,0.9863,0.99448,0.86464,0.44025,0.69585,0.28586,0.84214,0.0007724,0.0007724,0.0007724
64,1397.38,0.55325,0.78581,0.36318,0.90805,0.99975,0.99315,0.995,0.91998,0.99975,0.99315,0.995,0.86886,0.43969,0.65112,0.28315,0.84858,0.0007526,0.0007526,0.0007526
65,1419.81,0.53089,0.77008,0.36339,0.89732,1,0.99215,0.995,0.9245,1,0.99215,0.995,0.87338,0.44351,0.68452,0.27721,0.85242,0.0007328,0.0007328,0.0007328
